Name,Lat,Lon,radius(1)_type_1,radius(1)_type_2,radius(1)_type_3,radius(1)_type_4,radius(1)_type_5,radius(1)_type_6,radius(1)_type_7,radius(5)_type_1,radius(5)_type_2,radius(5)_type_3,radius(5)_type_4,radius(5)_type_5,radius(5)_type_6,radius(5)_type_7,radius(10)_type_1,radius(10)_type_2,radius(10)_type_3,radius(10)_type_4,radius(10)_type_5,radius(10)_type_6,radius(10)_type_7,radius(15)_type_1,radius(15)_type_2,radius(15)_type_3,radius(15)_type_4,radius(15)_type_5,radius(15)_type_6,radius(15)_type_7
hoankiem,21.0263,105.8515,16,3,1,147,47,3291,0,8005,1126,119,14399,2945,57652,3007,51710,7250,17419,52645,14469,186276,15334,129622,13962,96710,97412,28835,306343,32314
hangdau,21.0399,105.8473,265,9,5,138,188,2865,35,9151,1073,1552,17228,2444,52843,2962,51001,7125,24384,52392,14972,183421,15792,132717,14634,97626,99489,29803,309953,34437
kimlien,21.0074,105.8358,11,5,19,264,32,3173,1,3949,1586,119,11371,1724,67478,1026,51634,9347,16059,50240,13009,188788,15634,133927,13914,107197,100741,30207,312603,31847
minhkhai,21.05,105.74,699,8,1,33,200,2501,63,22032,1137,5609,7083,3865,41331,6196,77815,6424,39573,38234,15757,155788,15522,172193,14240,142836,90001,30863,300798,34403
mydinh,21.0269,105.7731,392,36,4,33,31,2869,140,14227,2221,940,4850,3390,57009,4616,64073,8406,24577,43626,11961,180844,15626,158053,14415,127857,98190,32741,320966,33112
pvd,21.05,105.782,308,88,0,141,80,2868,20,13072,3076,419,8684,3496,54637,3869,61911,7441,30230,46638,10587,176272,16034,167402,15169,111636,95488,32283,328054,35302
thanhcong,21.0197,105.8147,6,9,0,258,3,3228,1,4348,1563,243,8023,1484,70560,1032,56013,9650,13497,48668,11700,193500,16085,144982,14406,117409,102218,32157,322250,33524
chicuc,21.0152,105.7999,122,19,8,61,23,3256,16,6678,2063,393,6296,1836,67506,2481,56355,10013,17236,48178,10441,190187,16703,150194,14337,118520,100356,33547,324295,32750
tanmai,20.9883,105.8549,46,18,0,75,28,3290,48,8121,1802,1000,13285,3194,57384,2467,47495,6640,21217,50400,14867,174790,12626,120570,12861,103720,95201,27669,296545,28015
taymo,21.0058,105.7485,632,28,87,352,110,1706,590,18194,2170,5974,5310,1813,47768,6024,73625,8465,42038,27707,15205,167752,14321,145273,13434,173954,92638,29369,302785,27881
